PERMNO,date,TICKER,COMNAM,RET,RETX
85414,8/30/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.013714,0.013714
85414,8/31/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.006201,0.006201
85414,9/1/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.006723,-0.006723
85414,9/2/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.001692,0.001692
85414,9/3/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.003941,0.003941
85414,9/7/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.009534,0.009534
85414,9/8/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.001667,-0.001667
85414,9/9/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.000556,-0.000556
85414,9/10/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.008909,-0.008909
85414,9/13/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.002809,0.002809
85414,9/14/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.003922,0.003922
85414,9/15/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.007254,0.007254
85414,9/16/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.015513,0.015513
85414,9/17/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.002728,-0.002728
85414,9/20/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.019694,-0.019694
85414,9/21/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.007254,-0.007254
85414,9/22/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.004497,0.004497
85414,9/23/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.006155,0.006155
85414,9/24/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.000556,0.000556
85414,9/27/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.001668,0.001668
85414,9/28/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.016093,-0.04384
85414,9/29/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.005804,-0.005804
85414,9/30/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0,0
85414,10/1/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.006422,0.006422
85414,10/4/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.00058,-0.00058
85414,10/5/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.006965,-0.006965
85414,10/6/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.001753,-0.001753
85414,10/7/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.000585,-0.000585
85414,10/8/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.009373,0.009373
85414,10/11/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.006384,-0.006384
85414,10/12/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.007593,0.007593
85414,10/13/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0,0
85414,10/14/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0,0
85414,10/15/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.013913,-0.013913
85414,10/18/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.008818,0.008818
85414,10/19/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.004662,-0.004662
85414,10/20/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.021077,-0.021077
85414,10/21/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.01555,0.01555
85414,10/22/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.012956,-0.012956
85414,10/25/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.017303,0.017303
85414,10/26/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.03871,0.03871
85414,10/27/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.003953,0.003953
85414,10/28/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.006187,0.006187
85414,10/29/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.005031,0.005031
85414,11/1/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.003893,0.003893
85414,11/2/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.000554,0.000554
85414,11/3/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.007752,0.007752
85414,11/4/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.019231,0.019231
85414,11/5/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.027493,-0.027493
85414,11/8/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.002772,0.002772
85414,11/9/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.008845,0.008845
85414,11/10/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.008219,0.008219
85414,11/11/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.010326,0.010326
85414,11/12/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.019365,0.019365
85414,11/15/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.010026,0.010026
85414,11/16/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.004702,-0.004702
85414,11/17/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.011024,-0.011024
85414,11/18/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,0.003185,0.003185
85414,11/19/04,NLY,ANNALY MORTGAGE MANAGEMENT INC,-0.007407,-0.007407
